fare_product_id,fare_product_name,amount,currency,duration_start,duration_amount,duration_unit,duration_type,rider_category_id,fare_media_id
AM:matrix:AM:DAV-AM:SUI,generated,11.90,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:FFV,generated,17.00,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:FMT,generated,11.90,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:GAC,generated,15.30,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:HAY,generated,10.20,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:MTZ,generated,11.05,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:OAC,generated,7.65,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:OKJ,generated,5.95,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:RIC,generated,7.65,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:RLN,generated,27.20,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:RSV,generated,27.20,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:SAC,generated,24.65,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:SCC,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:SJC,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:EMY-AM:SUI,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:FMT,generated,22.95,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:GAC,generated,25.50,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:HAY,generated,21.25,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:MTZ,generated,11.05,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:OAC,generated,17.85,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:OKJ,generated,17.85,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:RIC,generated,14.45,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:RLN,generated,18.70,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:RSV,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:SAC,generated,12.75,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:SCC,generated,27.20,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:SFC,generated,20.40,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:SJC,generated,27.20,USD,,,,,AM:discount,cash
AM:matrix:AM:FFV-AM:SUI,generated,9.35,USD,,,,,AM:discount,cash
